feature,mean_abs_shap
cat__http_user_agent_hacking,0.0
cat__http_user_agent_sqlmap/1.2#stable (http://sqlmap.org),0.0
cat__http_orig_mime_types_-,0.0
cat__http_orig_mime_types_application/soap+xml,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28705002_7eddb7d6f9ecd0a0b2ff81bc63881e4a6f27ede5.cab,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28704636_0546eb0fd78c9227119ae680e754e1b3d36ffeb1.cab,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28704526_7452a46155d84684b31367e21ab15d20bd7c1e37.cab,0.0
cat__ssl_cipher_TLS_AES_128_GCM_SHA256,0.0
cat__dns_query_www.virtualbox.org,0.0
cat__dns_query_www.vmware.com,0.0
cat__dns_query_xilwttndpik,0.0
cat__dns_query_xjzmslesdafnf,0.0
cat__dns_query_zryhbluhk,0.0
cat__ssl_version_-,0.0
cat__ssl_version_TLSv10,0.0
cat__ssl_version_TLSv12,0.0
cat__ssl_version_TLSv13,0.0
cat__ssl_cipher_-,0.0
cat__ssl_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0.0
cat__dns_query_www.sunnyhoi.com,0.0
cat__ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,0.0
cat__ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,0.0
cat__ssl_resumed_-,0.0
cat__ssl_resumed_F,0.0
cat__ssl_resumed_T,0.0
cat__ssl_established_-,0.0
cat__ssl_established_F,0.0
cat__ssl_established_T,0.0
cat__ssl_subject_-,0.0
cat__ssl_subject_CN=*.events.data.microsoft.com;OU=Microsoft;O=Microsoft Corporation;L=Redmond;ST=WA;C=US,0.0
cat__dns_query_www.symantec.com,0.0
cat__dns_query_www.sillychicken.co.nz,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28703850_137633e388b121da187b7c4845b8300e3909114d.cab,0.0
cat__dns_query_www.google.com.au,0.0
cat__dns_query_windowsphone.com,0.0
cat__dns_query_windowsupdate.com,0.0
cat__dns_query_wininst,0.0
cat__dns_query_wns.notify.windows.com.akadns.net,0.0
cat__dns_query_wpad,0.0
cat__dns_query_www.apachefriends.org,0.0
cat__dns_query_www.dvwa.co.uk,0.0
cat__dns_query_www.facebook.com,0.0
cat__dns_query_www.google-analytics.com,0.0
cat__dns_query_www.google.com,0.0
cat__dns_query_www.googletagmanager.com,0.0
cat__dns_query_www.owasp.org,0.0
cat__dns_query_www.googletagservices.com,0.0
